timestamp,demand,Comment here!
1/18/2021 15:53:19,End voter suppression,
1/18/2021 15:53:30,Restore voting rights to the disenfranchised,
1/18/2021 15:53:49,Restore all of the environmental protections that Trump weakened,
1/18/2021 15:53:53,Stop ALL fracking,
1/18/2021 15:54:00,Stop the exploitation of national park lands,
1/18/2021 15:54:05,Stop the sale of nature preserves in Alaska,
1/18/2021 15:54:10,Demand the biggest corporations to reduce their carbon emissions,
1/18/2021 15:54:17,"Seriously pursue green energy - green energy must replace fossil fuels, not merely supplement them",
1/18/2021 15:54:22,Tax Billionaires (and Millionaires),
1/18/2021 15:54:26,Stop human rights abuses,
1/18/2021 15:54:31,Ensure healthcare for all Americans,
1/18/2021 15:54:35,Ship vaccines more quickly and administer them more efficiently,
1/18/2021 15:54:43,Retrofit the White House,
1/18/2021 15:54:50,Require land acknowledgments towards Native Americans,
1/18/2021 15:55:01,Send the $2000 checks,
1/18/2021 15:55:07,Rejoin the Paris Climate Accords,
1/18/2021 15:55:13,Pass the Protect the Right to Organize (PRO) Act,
1/18/2021 15:55:19,Pass a nationwide $15 minimum wage,
1/18/2021 15:55:24,Give protections to undocumented immigrants,
1/18/2021 15:55:33,Find and return children from the border camps,
1/18/2021 15:55:44,Find and return children from ALL state facilities,
1/18/2021 15:55:51,Repair effects of environmental racism (i.e. Hunters Point cleanup),
1/18/2021 15:55:57,Take on corruption and big money in politics,
1/18/2021 15:56:02,Abolish the death penalty,
1/18/2021 15:56:07,Pass the George Floyd Justice in Policing Act,
1/18/2021 15:56:13,Make the US an international leader on climate action,
1/18/2021 15:56:18,Stop all hunting of endangered and threatened species,
1/18/2021 15:56:23,Reverse Cuba’s “state sponsor of terrorism” status,
1/18/2021 15:56:27,De-escalate nuclear buildups,
1/18/2021 15:56:32,"Cut military spending, devote it to climate action",
1/18/2021 15:56:39,Cancel student debt,
1/18/2021 17:57:09,Invest heavily and immediately in solar power plant construction,
1/18/2021 21:20:08,Divest government money from unsustainable big AG and invest government funding into sustainable agriculture. Create incentive and put support in place for farmers to make this switch.,
1/19/2021 8:56:28,Improve Regulations of Pet Food (see https://www.foodsafetynews.com/2020/12/dog-deaths-prompt-pet-food-recall-for-aflatoxin-poisoning/ and Josh Hawley's top donor is a pet food company). ,
1/19/2021 8:57:05,Require companies to report all CO2 emissions to the SEC,
1/19/2021 8:57:54,Create regulations to prevent banks from financing more fossil fuel infrastructure,
1/19/2021 8:59:00,Vaccinate the whole country from Covid-19,
1/19/2021 8:59:37,End the war in Afghanistan,
1/19/2021 9:00:57,Allow employees to organize with company email,
1/19/2021 9:01:31,Start implementing circular economy regulations,
1/19/2021 9:02:07,Convene international negotiations for a target of under 1.5c,
1/19/2021 9:02:50,Develop a national plan to address homelessness and provide affordable housing,
1/19/2021 9:03:44,Fund free job training for every American in green jobs,
1/19/2021 9:03:56,Fund a plan to electrify every building in the United States,
1/19/2021 9:05:22,Re-negotiate the WTO and other trade agreements to address climate change,
1/19/2021 9:06:53,Require every federal contractor to have a plan to decarbonize their business consistent with keeping emissions under 1.5c,
1/19/2021 9:08:13,Direct the USDA to change agricultural programs to prioritize small farmers and farming practices that address climate change,
1/19/2021 9:08:44,Prosecute Trump and his top minions,
1/19/2021 9:09:17,Create a national renewable power standard of 100% renewable energy by 2030.,
1/19/2021 9:11:21,Increase fuel efficiency standards with a target of requiring all cars to be electric ,
1/19/2021 9:12:52,Require the next generation of aircraft be hydrogen-powered,
1/19/2021 12:18:56,Council with indegenous people around land management practices. Ex - fire practices on the west coast. Pay them for this work and put them in leadership postitions! ,
